2016-05-24 09:56:53,223 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@2cba5bdb: startup date [Tue May 24 09:56:53 CEST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-05-24 09:56:55,352 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2016-05-24 09:56:55,371 | INFO  | PListStore:/Users/JacksonIsaac/Development/apache-activemq-5.4.2/data/localhost/tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-05-24 09:56:55,448 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/JacksonIsaac/Development/apache-activemq-5.4.2/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2016-05-24 09:56:55,669 | INFO  | ActiveMQ 5.4.2 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-05-24 09:56:55,669 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-05-24 09:56:55,963 | INFO  | Listening for connections at: tcp://Jackson-MacBook-Pro.local:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-24 09:56:55,967 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2016-05-24 09:56:55,970 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:Jackson-MacBook-Pro.local-51956-1464076615750-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-05-24 09:56:56,134 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-05-24 09:56:56,715 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-05-24 09:56:57,081 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-05-24 09:56:59,325 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
